text,label
Предлагаю установить автомат с водой в поликлинике,предложение
Как получить льготу на проезд,вопрос
Прошу выдать справку о доходах,запрос услуги
Можно сделать велодорожку вдоль набережной,предложение
Предлагаю установить больше скамеек в парке,предложение
Сколько стоит оформить загранпаспорт,вопрос
Нужно оформить загранпаспорт,запрос услуги
Хорошо бы сделать детскую площадку,предложение
Можно организовать больше занятий для школьников,предложение
Не убрали снег у подъезда,жалоба
Невозможно дозвониться в управляющую компанию,жалоба
Когда включат отопление,вопрос
Можно сделать дополнительную парковку у школы,предложение
Какие документы нужны для субсидии,вопрос
Прошу зарегистрировать обращение по вопросу благоустройства,запрос услуги
Предлагаю установить больше скамеек в парке,предложение
В подъезде перегорела лампочка,жалоба
Когда начнется ремонт дороги на нашей улице,вопрос
Предлагаю улучшить освещение в парке,предложение
Прошу назначить дату приема в администрации,запрос услуги
Можно сделать дополнительную парковку у школы,предложение
Когда начнется ремонт дороги на нашей улице,вопрос
Предлагаю установить больше скамеек в парке,предложение
Как записать ребенка в детский сад,вопрос
Не работает уличное освещение,жалоба
Не убирают мусор во дворе,жалоба
Необходимо оформить пособие по уходу за ребенком,запрос услуги
Когда начнется ремонт дороги на нашей улице,вопрос
Какие документы нужны для субсидии,вопрос
Не убирают мусор во дворе,жалоба
Как записать ребенка в детский сад,вопрос
Куда обращаться по вопросам отопления,вопрос
Можно сделать велодорожку вдоль набережной,предложение
Хочу подать заявление на получение субсидии,запрос услуги
Как записаться к врачу через портал,вопрос
"Громкая музыка ночью, невозможно уснуть",жалоба
Прошу зарегистрировать обращение по вопросу благоустройства,запрос услуги
Нужно добавить больше урн во дворе,предложение
Прошу выдать дубликат свидетельства о рождении,запрос услуги
Куда пожаловаться на шум от соседей,вопрос
Хорошо бы сделать детскую площадку,предложение
Хочу подать заявление на получение субсидии,запрос услуги
Хорошо бы сделать детскую площадку,предложение
Куда обращаться по вопросам отопления,вопрос
Прошу зарегистрировать обращение по вопросу благоустройства,запрос услуги
Предлагаю установить больше скамеек в парке,предложение
Где можно получить справку о прописке,вопрос
В поликлинике большие очереди,жалоба
Не убрали снег у подъезда,жалоба
"Громкая музыка ночью, невозможно уснуть",жалоба
Как записать ребенка в детский сад,вопрос
Прошу выдать дубликат свидетельства о рождении,запрос услуги
Невозможно дозвониться в управляющую компанию,жалоба
Не убирают мусор во дворе,жалоба
Необходимо оформить пособие по уходу за ребенком,запрос услуги
Когда включат отопление,вопрос
Можно сделать дополнительную парковку у школы,предложение
Нужно оформить загранпаспорт,запрос услуги
Хорошо бы посадить деревья вдоль дороги,предложение
В подъезде перегорела лампочка,жалоба
Можно сделать дополнительную парковку у школы,предложение
Не работает лифт в доме,жалоба
Где можно получить справку о прописке,вопрос
Прошу выдать справку о доходах,запрос услуги
Хорошо бы сделать детскую площадку,предложение
Предлагаю установить больше скамеек в парке,предложение
Прошу направить специалиста для проверки отопления,запрос услуги
Необходимо оформить пособие по уходу за ребенком,запрос услуги
Прошу зарегистрировать обращение по вопросу благоустройства,запрос услуги
Не работает уличное освещение,жалоба
Хочу подать заявление на получение субсидии,запрос услуги
Нужно добавить больше урн во дворе,предложение
Как записаться к врачу через портал,вопрос
В подъезде перегорела лампочка,жалоба
Как получить льготу на проезд,вопрос
Как записать ребенка в детский сад,вопрос
Можно сделать дополнительную парковку у школы,предложение
Необходимо оформить пособие по уходу за ребенком,запрос услуги
В подъезде перегорела лампочка,жалоба
Не работает лифт в доме,жалоба
Предлагаю установить больше скамеек в парке,предложение
Хорошо бы сделать детскую площадку,предложение
Невозможно дозвониться в управляющую компанию,жалоба
Куда пожаловаться на шум от соседей,вопрос
Предлагаю установить автомат с водой в поликлинике,предложение
Прошу назначить дату приема в администрации,запрос услуги
Нужно оформить загранпаспорт,запрос услуги
Нужно оформить загранпаспорт,запрос услуги
Предлагаю установить автомат с водой в поликлинике,предложение
Стоит добавить лавочки у остановок,предложение
Куда пожаловаться на шум от соседей,вопрос
Прошу зарегистрировать обращение по вопросу благоустройства,запрос услуги
Где можно получить справку о прописке,вопрос
"Дорога вся в ямах, невозможно проехать",жалоба
Предлагаю установить больше скамеек в парке,предложение
Предлагаю установить больше скамеек в парке,предложение
Куда обращаться по вопросам отопления,вопрос
Прошу направить специалиста для проверки отопления,запрос услуги
Как получить льготу на проезд,вопрос
Прошу оформить справку о составе семьи,запрос услуги
Стоит добавить лавочки у остановок,предложение
Предлагаю улучшить освещение в парке,предложение
В поликлинике большие очереди,жалоба
Протекает крыша после дождя,жалоба
Необходимо оформить пособие по уходу за ребенком,запрос услуги
Сколько стоит оформить загранпаспорт,вопрос
Можно сделать дополнительную парковку у школы,предложение
Хочу подать заявление на получение субсидии,запрос услуги
Необходимо оформить пособие по уходу за ребенком,запрос услуги
Прошу назначить дату приема в администрации,запрос услуги
Как получить льготу на проезд,вопрос
Можно сделать дополнительную парковку у школы,предложение
Хочу подать заявление на получение субсидии,запрос услуги
Когда начнется ремонт дороги на нашей улице,вопрос
Необходимо оформить пособие по уходу за ребенком,запрос услуги
Когда включат отопление,вопрос
Куда пожаловаться на шум от соседей,вопрос
Невозможно дозвониться в управляющую компанию,жалоба
Прошу оформить справку о составе семьи,запрос услуги
"Дорога вся в ямах, невозможно проехать",жалоба
В поликлинике большие очереди,жалоба
Прошу выдать дубликат свидетельства о рождении,запрос услуги
Сколько стоит оформить загранпаспорт,вопрос
Предлагаю установить автомат с водой в поликлинике,предложение
Сколько стоит оформить загранпаспорт,вопрос
Прошу выдать дубликат свидетельства о рождении,запрос услуги
Куда пожаловаться на шум от соседей,вопрос
Прошу оформить справку о составе семьи,запрос услуги
Предлагаю улучшить освещение в парке,предложение
Нужно добавить больше урн во дворе,предложение
Прошу назначить дату приема в администрации,запрос услуги
Протекает крыша после дождя,жалоба
Протекает крыша после дождя,жалоба
Можно сделать дополнительную парковку у школы,предложение
Не работает уличное освещение,жалоба
Сколько стоит оформить загранпаспорт,вопрос
Нужно добавить больше урн во дворе,предложение
Сколько стоит оформить загранпаспорт,вопрос
Необходимо зарегистрировать новое место жительства,запрос услуги
Хорошо бы посадить деревья вдоль дороги,предложение
Нужно оформить загранпаспорт,запрос услуги
Хорошо бы посадить деревья вдоль дороги,предложение
Протекает крыша после дождя,жалоба
Какие документы нужны для субсидии,вопрос
Хочу подать заявление на получение субсидии,запрос услуги
Можно сделать дополнительную парковку у школы,предложение
Хочу подать заявление на получение субсидии,запрос услуги
Необходимо оформить пособие по уходу за ребенком,запрос услуги
Прошу выдать дубликат свидетельства о рождении,запрос услуги
Не убирают мусор во дворе,жалоба
Как записаться к врачу через портал,вопрос
Стоит добавить лавочки у остановок,предложение
Не убирают мусор во дворе,жалоба
"Дорога вся в ямах, невозможно проехать",жалоба
Как записать ребенка в детский сад,вопрос
В поликлинике большие очереди,жалоба
Нужно добавить больше урн во дворе,предложение
Прошу направить специалиста для проверки отопления,запрос услуги
Куда пожаловаться на шум от соседей,вопрос
Предлагаю улучшить освещение в парке,предложение
Когда начнется ремонт дороги на нашей улице,вопрос
Как записать ребенка в детский сад,вопрос
Прошу выдать справку о доходах,запрос услуги
Невозможно дозвониться в управляющую компанию,жалоба
Не убрали снег у подъезда,жалоба
Какие документы нужны для субсидии,вопрос
Как получить льготу на проезд,вопрос
В подъезде перегорела лампочка,жалоба
Куда пожаловаться на шум от соседей,вопрос
Как записаться к врачу через портал,вопрос
Можно организовать больше занятий для школьников,предложение
"Громкая музыка ночью, невозможно уснуть",жалоба
Хорошо бы посадить деревья вдоль дороги,предложение
Прошу направить специалиста для проверки отопления,запрос услуги
"Дорога вся в ямах, невозможно проехать",жалоба
Прошу назначить дату приема в администрации,запрос услуги
Хочу подать заявление на получение субсидии,запрос услуги
Предлагаю установить автомат с водой в поликлинике,предложение
Как получить льготу на проезд,вопрос
Какие документы нужны для субсидии,вопрос
Прошу направить специалиста для проверки отопления,запрос услуги
Необходимо зарегистрировать новое место жительства,запрос услуги
Необходимо зарегистрировать новое место жительства,запрос услуги
Необходимо оформить пособие по уходу за ребенком,запрос услуги
Прошу оформить справку о составе семьи,запрос услуги
Где можно получить справку о прописке,вопрос
Стоит добавить лавочки у остановок,предложение
Необходимо оформить пособие по уходу за ребенком,запрос услуги
Необходимо оформить пособие по уходу за ребенком,запрос услуги
Необходимо зарегистрировать новое место жительства,запрос услуги
"Дорога вся в ямах, невозможно проехать",жалоба
Хорошо бы сделать детскую площадку,предложение
Нужно оформить загранпаспорт,запрос услуги
Можно сделать дополнительную парковку у школы,предложение
Можно сделать дополнительную парковку у школы,предложение
Прошу зарегистрировать обращение по вопросу благоустройства,запрос услуги
Предлагаю установить больше скамеек в парке,предложение
Нужно добавить больше урн во дворе,предложение
Где можно получить справку о прописке,вопрос
Прошу выдать дубликат свидетельства о рождении,запрос услуги
Прошу оформить справку о составе семьи,запрос услуги
Протекает крыша после дождя,жалоба
Где можно получить справку о прописке,вопрос
Стоит добавить лавочки у остановок,предложение
Прошу выдать дубликат свидетельства о рождении,запрос услуги
Предлагаю установить автомат с водой в поликлинике,предложение
Сколько стоит оформить загранпаспорт,вопрос
Необходимо зарегистрировать новое место жительства,запрос услуги
Необходимо зарегистрировать новое место жительства,запрос услуги
Предлагаю установить автомат с водой в поликлинике,предложение
Прошу зарегистрировать обращение по вопросу благоустройства,запрос услуги
В подъезде перегорела лампочка,жалоба
Прошу зарегистрировать обращение по вопросу благоустройства,запрос услуги
Предлагаю улучшить освещение в парке,предложение
Необходимо оформить пособие по уходу за ребенком,запрос услуги
Не убрали снег у подъезда,жалоба
Хочу подать заявление на получение субсидии,запрос услуги
Невозможно дозвониться в управляющую компанию,жалоба
Когда начнется ремонт дороги на нашей улице,вопрос
Хорошо бы посадить деревья вдоль дороги,предложение
Не работает уличное освещение,жалоба
Необходимо оформить пособие по уходу за ребенком,запрос услуги
Прошу назначить дату приема в администрации,запрос услуги
Прошу оформить справку о составе семьи,запрос услуги
Когда начнется ремонт дороги на нашей улице,вопрос
"Дорога вся в ямах, невозможно проехать",жалоба
Куда обращаться по вопросам отопления,вопрос
Прошу оформить справку о составе семьи,запрос услуги
Когда начнется ремонт дороги на нашей улице,вопрос
Какие документы нужны для субсидии,вопрос
Протекает крыша после дождя,жалоба
Предлагаю улучшить освещение в парке,предложение
Как записаться к врачу через портал,вопрос
Можно сделать дополнительную парковку у школы,предложение
Нужно добавить больше урн во дворе,предложение
Не убрали снег у подъезда,жалоба
Когда начнется ремонт дороги на нашей улице,вопрос
Не убирают мусор во дворе,жалоба
Нужно оформить загранпаспорт,запрос услуги
Прошу направить специалиста для проверки отопления,запрос услуги
Где можно получить справку о прописке,вопрос
Куда обращаться по вопросам отопления,вопрос
Хорошо бы посадить деревья вдоль дороги,предложение
Предлагаю установить автомат с водой в поликлинике,предложение
Сколько стоит оформить загранпаспорт,вопрос
Не убрали снег у подъезда,жалоба
Стоит добавить лавочки у остановок,предложение
Не работает лифт в доме,жалоба
Хорошо бы сделать детскую площадку,предложение
В подъезде перегорела лампочка,жалоба
Хорошо бы посадить деревья вдоль дороги,предложение
Предлагаю улучшить освещение в парке,предложение
Где можно получить справку о прописке,вопрос
Когда начнется ремонт дороги на нашей улице,вопрос
Необходимо зарегистрировать новое место жительства,запрос услуги
Стоит добавить лавочки у остановок,предложение
Прошу назначить дату приема в администрации,запрос услуги
Как записаться к врачу через портал,вопрос
Хочу подать заявление на получение субсидии,запрос услуги
Хорошо бы посадить деревья вдоль дороги,предложение
Сколько стоит оформить загранпаспорт,вопрос
Необходимо оформить пособие по уходу за ребенком,запрос услуги
Необходимо оформить пособие по уходу за ребенком,запрос услуги
Хочу подать заявление на получение субсидии,запрос услуги
Прошу выдать дубликат свидетельства о рождении,запрос услуги
Как получить льготу на проезд,вопрос
Можно сделать дополнительную парковку у школы,предложение
Прошу оформить справку о составе семьи,запрос услуги
Нужно добавить больше урн во дворе,предложение
Как получить льготу на проезд,вопрос
Предлагаю улучшить освещение в парке,предложение
Как получить льготу на проезд,вопрос
Не работает уличное освещение,жалоба
Не убрали снег у подъезда,жалоба
Прошу назначить дату приема в администрации,запрос услуги
Можно организовать больше занятий для школьников,предложение
Хорошо бы сделать детскую площадку,предложение
Невозможно дозвониться в управляющую компанию,жалоба
Можно сделать дополнительную парковку у школы,предложение
Можно сделать дополнительную парковку у школы,предложение
Протекает крыша после дождя,жалоба
Как записаться к врачу через портал,вопрос
Как записать ребенка в детский сад,вопрос
Предлагаю улучшить освещение в парке,предложение
Когда начнется ремонт дороги на нашей улице,вопрос
Где можно получить справку о прописке,вопрос
Стоит добавить лавочки у остановок,предложение
Нужно добавить больше урн во дворе,предложение
Хорошо бы сделать детскую площадку,предложение
Хорошо бы посадить деревья вдоль дороги,предложение
Предлагаю улучшить освещение в парке,предложение
Когда начнется ремонт дороги на нашей улице,вопрос
Хочу подать заявление на получение субсидии,запрос услуги
Куда обращаться по вопросам отопления,вопрос
Прошу зарегистрировать обращение по вопросу благоустройства,запрос услуги
Прошу выдать дубликат свидетельства о рождении,запрос услуги
Как получить льготу на проезд,вопрос
Необходимо зарегистрировать новое место жительства,запрос услуги
Можно сделать дополнительную парковку у школы,предложение
Где можно получить справку о прописке,вопрос
Прошу выдать дубликат свидетельства о рождении,запрос услуги
Сколько стоит оформить загранпаспорт,вопрос
Куда обращаться по вопросам отопления,вопрос
В подъезде перегорела лампочка,жалоба
Как записать ребенка в детский сад,вопрос
Не убрали снег у подъезда,жалоба
Как записаться к врачу через портал,вопрос
Прошу выдать дубликат свидетельства о рождении,запрос услуги
Не убрали снег у подъезда,жалоба
Необходимо зарегистрировать новое место жительства,запрос услуги
Хорошо бы сделать детскую площадку,предложение
Сколько стоит оформить загранпаспорт,вопрос
Не работает лифт в доме,жалоба
Хорошо бы посадить деревья вдоль дороги,предложение
Необходимо зарегистрировать новое место жительства,запрос услуги
Куда обращаться по вопросам отопления,вопрос
Можно сделать дополнительную парковку у школы,предложение
Куда пожаловаться на шум от соседей,вопрос
В поликлинике большие очереди,жалоба
Где можно получить справку о прописке,вопрос
Хочу подать заявление на получение субсидии,запрос услуги
Необходимо зарегистрировать новое место жительства,запрос услуги
Хорошо бы сделать детскую площадку,предложение
Как получить льготу на проезд,вопрос
Прошу выдать дубликат свидетельства о рождении,запрос услуги
Не убирают мусор во дворе,жалоба
Хорошо бы посадить деревья вдоль дороги,предложение
Протекает крыша после дождя,жалоба
Нужно добавить больше урн во дворе,предложение
Хорошо бы посадить деревья вдоль дороги,предложение
Как записать ребенка в детский сад,вопрос
Нужно добавить больше урн во дворе,предложение
Сколько стоит оформить загранпаспорт,вопрос
Хочу подать заявление на получение субсидии,запрос услуги
Нужно добавить больше урн во дворе,предложение
Прошу оформить справку о составе семьи,запрос услуги
Когда включат отопление,вопрос
Необходимо оформить пособие по уходу за ребенком,запрос услуги
Какие документы нужны для субсидии,вопрос
Можно сделать велодорожку вдоль набережной,предложение
Предлагаю установить автомат с водой в поликлинике,предложение
Прошу выдать справку о доходах,запрос услуги
Куда пожаловаться на шум от соседей,вопрос
Где можно получить справку о прописке,вопрос
Предлагаю установить больше скамеек в парке,предложение
Не работает уличное освещение,жалоба
"Громкая музыка ночью, невозможно уснуть",жалоба
Не убирают мусор во дворе,жалоба
Необходимо оформить пособие по уходу за ребенком,запрос услуги
Нужно добавить больше урн во дворе,предложение
Как записать ребенка в детский сад,вопрос
Прошу зарегистрировать обращение по вопросу благоустройства,запрос услуги
Прошу назначить дату приема в администрации,запрос услуги
Невозможно дозвониться в управляющую компанию,жалоба
Сколько стоит оформить загранпаспорт,вопрос
Прошу назначить дату приема в администрации,запрос услуги
Стоит добавить лавочки у остановок,предложение
Предлагаю установить больше скамеек в парке,предложение
Можно сделать велодорожку вдоль набережной,предложение
В поликлинике большие очереди,жалоба
Хорошо бы посадить деревья вдоль дороги,предложение
Где можно получить справку о прописке,вопрос
Нужно оформить загранпаспорт,запрос услуги
Как записаться к врачу через портал,вопрос
Когда включат отопление,вопрос
Необходимо оформить пособие по уходу за ребенком,запрос услуги
Сколько стоит оформить загранпаспорт,вопрос
Хорошо бы сделать детскую площадку,предложение
Как получить льготу на проезд,вопрос
Какие документы нужны для субсидии,вопрос
Какие документы нужны для субсидии,вопрос
Не работает уличное освещение,жалоба
Хорошо бы посадить деревья вдоль дороги,предложение
Когда включат отопление,вопрос
Прошу оформить справку о составе семьи,запрос услуги
Нужно добавить больше урн во дворе,предложение
Прошу направить специалиста для проверки отопления,запрос услуги
В подъезде перегорела лампочка,жалоба
Можно сделать дополнительную парковку у школы,предложение
Хорошо бы сделать детскую площадку,предложение
Когда начнется ремонт дороги на нашей улице,вопрос
Необходимо зарегистрировать новое место жительства,запрос услуги
Стоит добавить лавочки у остановок,предложение
Предлагаю улучшить освещение в парке,предложение
Стоит добавить лавочки у остановок,предложение
Когда начнется ремонт дороги на нашей улице,вопрос
Когда включат отопление,вопрос
Невозможно дозвониться в управляющую компанию,жалоба
Какие документы нужны для субсидии,вопрос
Предлагаю установить автомат с водой в поликлинике,предложение
Хочу подать заявление на получение субсидии,запрос услуги
"Дорога вся в ямах, невозможно проехать",жалоба
Куда обращаться по вопросам отопления,вопрос
Предлагаю установить больше скамеек в парке,предложение
Стоит добавить лавочки у остановок,предложение
Протекает крыша после дождя,жалоба
Можно организовать больше занятий для школьников,предложение
Нужно оформить загранпаспорт,запрос услуги
Не работает уличное освещение,жалоба
Не убирают мусор во дворе,жалоба
Какие документы нужны для субсидии,вопрос
Куда пожаловаться на шум от соседей,вопрос
Можно организовать больше занятий для школьников,предложение
В подъезде перегорела лампочка,жалоба
Когда начнется ремонт дороги на нашей улице,вопрос
Предлагаю установить автомат с водой в поликлинике,предложение
Предлагаю установить автомат с водой в поликлинике,предложение
Какие документы нужны для субсидии,вопрос
Прошу назначить дату приема в администрации,запрос услуги
Нужно оформить загранпаспорт,запрос услуги
Не убирают мусор во дворе,жалоба
Можно сделать велодорожку вдоль набережной,предложение
Как записать ребенка в детский сад,вопрос
Нужно оформить загранпаспорт,запрос услуги
Не убрали снег у подъезда,жалоба
Как записаться к врачу через портал,вопрос
"Громкая музыка ночью, невозможно уснуть",жалоба
В подъезде перегорела лампочка,жалоба
Сколько стоит оформить загранпаспорт,вопрос
Можно организовать больше занятий для школьников,предложение
Можно сделать дополнительную парковку у школы,предложение
Когда включат отопление,вопрос
Где можно получить справку о прописке,вопрос
Когда начнется ремонт дороги на нашей улице,вопрос
Не работает уличное освещение,жалоба
Невозможно дозвониться в управляющую компанию,жалоба
Нужно добавить больше урн во дворе,предложение
В поликлинике большие очереди,жалоба
Прошу направить специалиста для проверки отопления,запрос услуги
Сколько стоит оформить загранпаспорт,вопрос
Стоит добавить лавочки у остановок,предложение
Не убирают мусор во дворе,жалоба
Когда включат отопление,вопрос
"Громкая музыка ночью, невозможно уснуть",жалоба
Необходимо зарегистрировать новое место жительства,запрос услуги
"Дорога вся в ямах, невозможно проехать",жалоба
Протекает крыша после дождя,жалоба
Прошу оформить справку о составе семьи,запрос услуги
Не убирают мусор во дворе,жалоба
Прошу назначить дату приема в администрации,запрос услуги
Не убрали снег у подъезда,жалоба
Как получить льготу на проезд,вопрос
Протекает крыша после дождя,жалоба
Прошу оформить справку о составе семьи,запрос услуги
Не работает уличное освещение,жалоба
Как записать ребенка в детский сад,вопрос
Нужно оформить загранпаспорт,запрос услуги
Нужно оформить загранпаспорт,запрос услуги
Прошу выдать справку о доходах,запрос услуги
Как получить льготу на проезд,вопрос
"Дорога вся в ямах, невозможно проехать",жалоба
Куда обращаться по вопросам отопления,вопрос
Хочу подать заявление на получение субсидии,запрос услуги
Протекает крыша после дождя,жалоба
Протекает крыша после дождя,жалоба
"Громкая музыка ночью, невозможно уснуть",жалоба
Протекает крыша после дождя,жалоба
Не убирают мусор во дворе,жалоба
Не работает лифт в доме,жалоба
Прошу назначить дату приема в администрации,запрос услуги
Прошу назначить дату приема в администрации,запрос услуги
Невозможно дозвониться в управляющую компанию,жалоба
Невозможно дозвониться в управляющую компанию,жалоба
Прошу зарегистрировать обращение по вопросу благоустройства,запрос услуги
Куда обращаться по вопросам отопления,вопрос
Хорошо бы сделать детскую площадку,предложение
"Дорога вся в ямах, невозможно проехать",жалоба
Прошу направить специалиста для проверки отопления,запрос услуги
Предлагаю установить автомат с водой в поликлинике,предложение
Прошу зарегистрировать обращение по вопросу благоустройства,запрос услуги
Прошу направить специалиста для проверки отопления,запрос услуги
Прошу оформить справку о составе семьи,запрос услуги
Прошу выдать дубликат свидетельства о рождении,запрос услуги
В поликлинике большие очереди,жалоба
Хорошо бы сделать детскую площадку,предложение
Можно сделать велодорожку вдоль набережной,предложение
Прошу выдать дубликат свидетельства о рождении,запрос услуги
Хорошо бы сделать детскую площадку,предложение
Предлагаю улучшить освещение в парке,предложение
Прошу оформить справку о составе семьи,запрос услуги
Когда начнется ремонт дороги на нашей улице,вопрос
Когда включат отопление,вопрос
Прошу направить специалиста для проверки отопления,запрос услуги
"Дорога вся в ямах, невозможно проехать",жалоба
Прошу выдать дубликат свидетельства о рождении,запрос услуги
Когда включат отопление,вопрос
Где можно получить справку о прописке,вопрос
Когда начнется ремонт дороги на нашей улице,вопрос
Необходимо зарегистрировать новое место жительства,запрос услуги
Прошу выдать справку о доходах,запрос услуги
"Дорога вся в ямах, невозможно проехать",жалоба
Прошу зарегистрировать обращение по вопросу благоустройства,запрос услуги
